rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
120,,86,MARINI Hugo *,SCOTT DOWNHILL FACTORY,10072798379,FRA,2005,54.237,61,4:32.790,+43.372,-,0:52.681,103,00:52.681000,2:11.523,133,01:18.842000,3:10.273,122,00:58.750000,3:52.945,120,00:42.672000,99,135,110,119,00:39.845000,113
121,,178,MACINTOSH Garrett,N/A,10058842002,CAN,1990,50.812,128,4:37.557,+48.139,-,0:56.555,138,00:56.555000,2:10.766,131,01:14.211000,3:10.720,124,00:59.954000,3:55.851,122,00:45.131000,132,126,119,130,00:41.706000,128
122,,168,CONROY Sam *,N/A,10124098346,GBR,2005,51.246,121,4:38.110,+48.692,-,0:56.922,139,00:56.922000,2:13.463,135,01:16.541000,3:14.703,126,01:01.240000,3:57.654,123,00:42.951000,133,132,122,121,00:40.456000,122
123,,156,TROILLET Jules *,N/A,10112862211,SUI,2004,51.136,123,4:40.599,+51.181,-,0:56.356,136,00:56.356000,2:11.563,134,01:15.207000,3:19.317,128,01:07.754000,4:00.629,124,00:41.312000,130,129,129,107,00:39.970000,114
124,,165,MCELYEA Colin *,EVOLVE RACING,10112268588,USA,2004,51.948,115,4:43.333,+53.915,-,0:51.019,74,00:51.019000,1:59.143,85,01:08.124000,2:56.993,90,00:57.850000,4:01.383,125,01:04.390000,73,92,106,138,00:41.950000,130
125,,157,GRASLAUB MIRO Arnau *,N/A,10050975201,AND,2004,48.913,135,4:47.624,+58.206,-,0:55.041,130,00:55.041000,2:14.620,138,01:19.579000,3:18.713,127,01:04.093000,4:04.625,126,00:45.912000,126,136,125,131,00:42.999000,137
126,,181,PAREDES MORENO José Pablo,N/A,10062298838,CHI,2001,48.518,137,4:47.727,+58.309,-,0:59.496,144,00:59.496000,2:17.136,140,01:17.640000,3:21.058,130,01:03.922000,4:05.535,127,00:44.477000,138,134,124,129,00:42.192000,132
127,,191,DOYCHEV Velin *,N/A,10092664585,BUL,2004,51.082,125,4:50.920,+1:01.502,-,0:57.731,142,00:57.731000,2:13.922,136,01:16.191000,3:19.420,129,01:05.498000,4:09.173,128,00:49.753000,136,131,127,134,00:41.747000,129
128,,97,KUSHIMA Yuki,TEAM HIGH COUNTRY,10007430281,JPN,1993,52.536,108,4:51.916,+1:02.498,-,0:53.160,114,00:53.160000,2:14.413,137,01:21.253000,3:29.475,133,01:15.062000,4:11.333,129,00:41.858000,110,137,133,112,00:40.583000,123
129,,127,FOALE Kael *,RAW FUSION RACING,10114035810,AUS,2005,53.832,76,4:53.814,+1:04.396,-,0:51.482,84,00:51.482000,1:59.316,88,01:07.834000,3:36.902,136,01:37.586000,4:15.893,132,00:38.991000,83,89,136,73,00:37.921000,81
130,,134,ROHRMOSER Valentin,N/A,10035125401,AUT,2000,49.724,132,4:56.610,+1:07.192,-,0:55.076,131,00:55.076000,2:10.970,132,01:15.894000,3:22.020,131,01:11.050000,4:13.987,130,00:51.967000,127,130,131,135,00:42.623000,135
131,,164,MARTINEZ REVOLORIO Juan Antonio,N/A,10138721704,GUA,1993,51.521,119,4:57.804,+1:08.386,-,0:57.341,141,00:57.341000,2:14.939,139,01:17.598000,3:28.234,132,01:13.295000,4:14.286,131,00:46.052000,135,133,132,132,00:43.518000,138
132,,179,MARKEWITZ Julien *,OUTLAW UNITED,10116669257,USA,2003,47.619,139,4:58.121,+1:08.703,-,0:56.423,137,00:56.423000,2:18.073,141,01:21.650000,3:34.523,134,01:16.450000,4:16.813,133,00:42.290000,131,138,134,118,00:41.308000,125
133,,169,FERGUSON Angus *,N/A,10122962739,NZL,2005,52.269,109,4:59.926,+1:10.508,-,0:52.868,107,00:52.868000,2:00.297,92,01:07.429000,3:34.786,135,01:34.489000,4:17.812,134,00:43.026000,103,83,135,122,00:42.114000,131
134,,113,KEW Ross *,N/A,10127477077,RSA,2005,51.191,122,5:00.145,+1:10.727,-,0:52.979,111,00:52.979000,2:02.672,112,01:09.693000,3:13.189,125,01:10.517000,3:53.311,121,00:40.122000,107,113,130,98,01:06.834000,140
135,,89,GRICE Christopher *,GEN-S,10073483443,USA,2003,49.383,133,5:18.049,+1:28.631,-,0:49.388,28,00:49.388000,1:56.783,63,01:07.395000,3:49.414,137,01:52.631000,4:35.496,135,00:46.082000,28,82,138,133,00:42.553000,134
136,,119,GUIONNET Ian,N/A,10057674766,FRA,2001,51.780,116,5:25.637,+1:36.219,-,0:52.977,110,00:52.977000,2:01.589,104,01:08.612000,4:00.215,138,01:58.626000,4:44.165,136,00:43.950000,106,98,139,128,00:41.472000,126
137,,180,MASTERS Wyn,THE GRAVITY CARTEL - ROGUE RACING,10004406107,NZL,1987,51.724,117,5:26.839,+1:37.421,-,0:52.095,97,00:52.095000,1:57.101,67,01:05.006000,3:02.621,109,01:05.520000,4:47.030,137,01:44.409000,94,50,128,139,00:39.809000,112
138,,167,CARR Lewis *,BNC RACING,10117519726,GBR,2004,53.872,75,5:39.590,+1:50.172,-,0:51.916,92,00:51.916000,2:00.955,96,01:09.039000,3:00.505,106,00:59.550000,4:59.486,138,01:58.981000,90,103,116,140,00:40.104000,116
139,,185,TURBA Albertas,N/A,10082534654,LTU,1994,40.381,141,6:24.575,+2:35.157,-,1:01.756,147,01:01.756000,2:41.780,143,01:40.024000,4:44.939,139,02:03.159000,5:40.219,139,00:55.280000,140,139,140,136,00:44.356000,139
140,,146,CAPPELLO Davide *,THE GRAVITY CARTEL - ROGUE RACING,10032715353,ITA,2004,47.013,140,7:27.002,+3:37.584,-,0:50.628,63,00:50.628000,4:01.391,146,03:10.763000,5:42.822,140,01:41.431000,6:45.327,140,01:02.505000,62,140,137,137,00:41.675000,127
